id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_dm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,57769,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,148447,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12100,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45412,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10930,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69113,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,31582,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,21981,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12915,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5504,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,21691,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11783,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,149537,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,89055,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,12273,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,45430,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,42517,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,48899,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,9571,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,1946,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,71462,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37523,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14208,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32847,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,17732,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15049,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79252,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17663,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,22345,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13024,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79656,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30709,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,16830,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12405,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,139392,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,242169,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17009,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16376,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,19694,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2465,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,43906,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,20834,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,44714,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,50631,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,9716,ORANG,2020
